movieId,title,genres
1,Jumanji (1995),Adventure|Children|Fantasy
2,Toy Story (1997),Adventure|Animation|Children|Comedy|Fantasy
3,Grumpier Old Men (1995),Comedy|Romance
4,Waiting to Exhale (2000),Comedy|Drama|Romance
5,Father of the Bride Part II (1995),Comedy
6,Heat (1998),Action|Crime|Thriller
7,Sabrina (1995),Comedy|Romance
8,Tom and Huck (1995),Adventure|Children
9,Sudden Death (1995),Action
10,GoldenEye (1995),Action|Adventure|Thriller
12,Dracula: Dead and Loving It (1995),Comedy|Horror
13,Balto (1993),Adventure|Animation|Children
14,Nixon (1995),Drama
15,Cutthroat Island (1995),Action|Adventure|Romance
16,Casino (1999),Crime|Drama
17,Sense and Sensibility (1995),Drama|Romance
18,Four Rooms (1991),Comedy
19,Ace Ventura: When Nature Calls (1995),Comedy
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller
21,Get Shorty (1990),Comedy|Crime|Thriller
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller
23,Assassins (1995),Action|Crime|Thriller
24,Powder (2021),Drama|Sci-Fi
25,Leaving Las Vegas (1995),Drama|Romance
26,Othello (1993),Drama
27,Now and Then (1995),Children|Drama
28,Persuasion,Drama
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama
31,Dangerous Minds (2011),Drama
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Adventure
34,Babe (2003),Children|Drama
36,Dead Man Walking (2018),Crime|Drama